Id,Sites_GlobalID,SITE_NAME,Event_Id,Full_Date,Numeric_Date,Event_Type,Event_Mag,POINT_X,POINT_Y,Rel,Env_Eff,Env_Eff_Val,Env_Eff2,Category,Description,ESI_Val,ESI_Num,Order_Date
365,B33C895F-3699-4B18-9467-F5838FB12BD7,Tayma,104,1068 Mar 18,1068.00000000,MA,7.30000000,36.75000000,32.84000000,High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,effects: water springs,Unknown,-1.00000000,148
366,B33C895F-3699-4B18-9467-F5838FB12BD7,Tayma,104,1068 Mar 18,1068.00000000,MA,7.30000000,36.75000000,32.84000000,High,GB,"Ground breakage, fissures",-1,Ground breakage,effects: water springs,Unknown,-1.00000000,148
375,11C3DBAB-A9F6-41CA-A9BA-F7B03B5F9995,Tennis,104,1068 Mar 18,1068.00000000,MA,7.30000000,32.30000000,31.17000000,High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,effects: water springs,Unknown,-1.00000000,148
377,A0C86E88-21A1-44AE-A572-41F8959585E9,Egypt (A),104,1068 Mar 18,1068.00000000,MA,7.30000000,31.49000000,28.61000000,High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,effects: water springs,Unknown,-1.00000000,148
378,5A686BB1-27BE-45D3-9FFC-A684F46DF552,Palestine (A),104,1068 Mar 18,1068.00000000,MA,7.30000000,35.20000000,32.39000000,High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,effects: water springs,Unknown,-1.00000000,148
379,5A686BB1-27BE-45D3-9FFC-A684F46DF552,Palestine (A),104,1068 Mar 18,1068.00000000,MA,7.30000000,35.20000000,32.39000000,High,SW,Sea waves,-1,Sea phenomena,effects: sea waves,Unknown,-1.00000000,148
380,8E329625-5D3F-4FD5-A273-ED9B760CF425,Al-Rahba,104,1068 Mar 18,1068.00000000,MA,7.30000000,35.72000000,31.35000000,High,SF,"Changes in the flow of Springs, appearance or disappearance  of spring",-1,Hydrologic phenomena’s,effects: water springs,Unknown,-1.00000000,148
381,10AA43E9-0A03-4926-BF68-6D59425449C9,Deir Kifa,104,1068 Mar 18,1068.00000000,MA,7.30000000,35.40000000,33.27000000,High,WO,"Overflow, watercourse changes",-1,Hydrologic phenomena’s,NULL,Unknown,-1.00000000,148
457,2F73C0CC-D218-4082-A1C1-C85AD707944A,Busra,134,1202 May 20 (0240),1202.00000000,MA,7.50000000,36.48000000,32.51000000,Very High,LD,Landslides,-1,Slope Stability,village near Busra,Unknown,-1.00000000,222
458,C601857B-C043-4546-85FC-41C8D3548F01,Nablus,134,1202 May 20 (0240),1202.00000000,MA,7.50000000,35.25000000,32.21000000,Very High,GC,Geomorphologic changes/Ground shifts,-1,Ground breakage,NULL,Unknown,-1.00000000,222
464,363BA99B-AD00-4E0A-AC50-024FE04AF5EF,Mt. Lebanon (A),134,1202 May 20 (0240),1202.00000000,MA,7.50000000,35.71000000,33.50000000,Very High,LD,Landslides,-1,Slope Stability,NULL,Unknown,-1.00000000,222
469,AE503169-6D09-4BAE-9548-29D447B9C3D2,Al-Marqab Citadel,134,1202 May 20 (0240),1202.00000000,MA,7.50000000,35.93000000,35.14000000,Very High,U,Unknown,-1,"Unknown ","The azimuth of displacement is NE-SW for the older damages of the Crusader period (A.D. 1170–1285), possibly related to the A.D. 1202 earthquake. The earthquake produced at least VIII intensity on the MSK scale at AlMarqab, which is higher than previously considered (KM)",Unknown,-1.00000000,222
483,56C3EBE7-8350-4CA2-A9E0-6D2EAE64E858,Cyprus (A),134,1202 May 20 (0240),1202.00000000,MA,7.50000000,33.10000000,34.98000000,Very High,SW,Sea waves,-1,Sea phenomena,NULL,Unknown,-1.00000000,222
484,E0A3CC35-34B4-4C7A-99A6-8B69DCCFA2BF,Syria (A),134,1202 May 20 (0240),1202.00000000,MA,7.50000000,37.03000000,34.93000000,Very High,SW,Sea waves,-1,Sea phenomena,NULL,Unknown,-1.00000000,222
488,A19DBC3E-C9C0-40E3-9379-21FE19F3A0BF,St. Catherine,135,1212 May 01,1212.00000000,FMA,6.70000000,33.97000000,28.55000000,High,LD,Landslides,-1,Slope Stability,NULL,Unknown,-1.00000000,223
495,D2CC8734-4DB1-442B-8942-920C367191D9,Ramla,145,1293 Jan 11–Feb 08,1293.00000000,S,6.20000000,34.87000000,31.92000000,High,WO,"Overflow, watercourse changes",-1,Hydrologic phenomena’s,damage: minaret of the main mosque,Unknown,-1.00000000,233
511,405C9BB2-73B3-4E37-903A-09EC2AA623E6,Elat,171,1588 Jan 04 (13:00),1588.00000000,S,6.70000000,34.95000000,29.55000000,Moderate,LD,Landslides,-1,Slope Stability,NULL,Unknown,-1.00000000,281
537,93F14479-704C-4AEB-A37C-0FE08F683F24,Akko,186,1759 Oct 30 ( 03:45),1759.20000000,F/S,6.50000000,35.07000000,32.92000000,High,SW,Sea waves,-1,Sea phenomena,NULL,Unknown,-1.00000000,318
544,11A1487E-27D7-4A7E-B810-B9BDB80B99B0,Damascus,186,1759 Oct 30 ( 03:45),1759.20000000,F/S,6.50000000,36.29000000,33.51000000,Very High,LD,Landslides,-1,Slope Stability,damage: Qanawat water Channel,Unknown,-1.00000000,318
547,C8AC700E-1F60-45F7-9D1F-4F695EE1C87B,Tripoli,186,1759 Oct 30 ( 03:45),1759.20000000,F/S,6.50000000,35.83000000,34.43000000,High,SW,Sea waves,-1,Sea phenomena,damege: Water slosh out of basins and ponds.,Unknown,-1.00000000,318
565,27E3E2F9-9C2B-4910-A032-9CD53367FBE1,Mukhtara (U),187,1759 Nov 25 ( 19:23),1759.30000000,FMA,7.30000000,33.65082151,33.05128774,Very High,LD,Landslides,-1,Slope Stability,NULL,Unknown,-1.00000000,319
572,8B0ECE77-755E-4497-BE34-6EA7DCB86A9C,Baalbeq,187,1759 Nov 25 ( 19:23),1759.30000000,FMA,7.30000000,36.20000000,34.00000000,Very High,LD,Landslides,-1,Slope Stability,"damage: the Castle, the Great Temple",Unknown,-1.00000000,319
578,9FEFF99F-ABD4-4142-9523-96735990804E,Bet-Jann,187,1759 Nov 25 ( 19:23),1759.30000000,FMA,7.30000000,35.37000000,32.96000000,Very High,GE,Exhalation or emission of gas,-1,Gas exhalation,"todo :
Fire followed the earthquake.",Unknown,-1.00000000,319
609,D744E9B4-E0A5-4E5B-A5F1-6695B807B5C7,Ghutah,187,1759 Nov 25 ( 19:23),1759.30000000,FMA,7.30000000,36.42000000,33.49000000,Very High,GB,"Ground breakage, fissures",-1,Ground breakage,NULL,Unknown,-1.00000000,319
632,5C9FEE42-4817-4C3B-A724-740330C36572,Alexandria,187,1759 Nov 25 ( 19:23),1759.30000000,FMA,7.30000000,29.89000000,31.20000000,Very High,WO,"Overflow, watercourse changes",-1,Hydrologic phenomena’s,NULL,Unknown,-1.00000000,319
645,649C9271-3EFA-4248-A7E4-B04F9ACE6F09,Dead Sea Southwest (A),192,1834 May 26 (13:00),1834.00000000,S,6.30000000,35.36000000,31.13000000,High,AC,Asphalt casting,-1,Other,"After the earthquake of 1834, a large quantity of asphalt was apparently cast onto the shore near the southwestern corner of the Dead Sea, three tons of which were brought to market by the natives",Unknown,-1.00000000,357
