Order_Date,Full_Date,Numeric_Date,Date_Uncertainty,Rel,Type,Size,Size_Val,Magnitude,Magnitude_Avg,Max_Intensity,Depth,Epi_X,Epi_Y,Region,Most_Damaged_Sites,Most_Damaged,MSRD_X,MSRD_Y,Tsunami,GII,Description,Historical_Reports,Ref,Evidence_Type
139,1034 Feb 17,1034.00000000,-,Poor,A,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Palestine?,Palestine (A),35.20000000,32.39000000,0,1,"AM: Probably a belated aftershock of the earthquake that occurred in Syria in December of the previous year. Only one source reporting with confused chronology. Cedrenus reports of damage in the 'cities of Syria' that is, damage that is not limited to a single location. 'Syria' might reflect also localities in northern Palestine.",Near Contemporary: Cedrenus. Ii. 503/236,AM; GII,Historical
140,1036-1037,1036.00000000,1,Poor,S,-1,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,EAS,East Anatolian Fault,Edessa,38.80000000,37.15000000,0,0,"Matthew of Edessa, in a.Arm. 485 (12 March 1036 to 11 March 1037), there was an earthquake that shook rocks and ‘the waves of the sea boiled up and were tossed around’. He gives no location.",Near contemporary: Matthew of Edessa (Matth. Edess. 48/53),AM;,Historical
141,1042 (Aug 21?) - 1043,1042.00000000,1,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,C-N,Tadmur,Tadmur,38.27000000,34.54000000,0,1,AM: the only reporting source is al-Suyuti. Mentions Tadmur and Baa'lbeck as damaged with many loss of life,Secondary: al-Suyuti Kashf 56/18,AM; GC; SAL; SDM; GII,Historical
142,1047 Jan 28 - 1048 Jan 14,1047.00000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Ramla,Ramla,34.87000000,31.92000000,0,1,AM: the only reporting source is the secondary al-Fariqi: A strong shock in Ramla caused its inhabitants to evacuate the town.,Secondary: Al Fariqi/Tarikh. 16,AM; GII,Historical
143,1060,1060.00000000,-,Doubtful,U,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Jordan Valley,Jordan River (A),35.53000000,31.82000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
150,1070 Feb 25,1070.00000000,-,Doubtful,U,4,Strong,,NULL,NULL,NULL,NULL,NULL,S,Arava,Arava (A),35.26000000,30.70000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
152,1091 Feb 12,1091.00000000,-,Poor,C,1,Light,,NULL,NULL,NULL,NULL,NULL,S,St. Catherine,St. Catherine,33.97000000,28.55000000,0,1,"Only one anonymous source dating the event according to Archbishop John the Athenian’s death. No reference to the shock has been found in Arabic sources for this year (484 a.H.) or the surrounding period, or to the Bedouin raids on the monastery that are said to have led to the Archbishop’s death Interpretations could lead either to 1091 of March 1068 (AM)","Secondry: Anon. 1817, 125",AM; SAL; GII,Historical
162,1114 Apr-May,1114.00000000,-,Poor,C,1,Light,,NULL,NULL,NULL,NULL,NULL,C,Jerusalem? Lake of Galilee,Tiberias - Southern Gate,29.75160000,33.67970000,0,0,"Although Jerusalem is mentioned in the chronicle of ‘Historia Hierosolymitanae’ to have been hit, it is not mentioned by Fulcher (AM). Thus, had the event occurred,  it was probably felt north of Jerusalem (perhaps near the Sea of Galilee)","Secondary: Fulch, Hist. Hier. 572",AM;,Historical
162,1114 Apr-May,1114.00000000,-,Poor,C,1,Light,,NULL,NULL,NULL,NULL,NULL,C,Jerusalem? Lake of Galilee,Jerusalem,35.23371042,31.77430227,0,0,"Although Jerusalem is mentioned in the chronicle of ‘Historia Hierosolymitanae’ to have been hit, it is not mentioned by Fulcher (AM). Thus, had the event occurred,  it was probably felt north of Jerusalem (perhaps near the Sea of Galilee)","Secondary: Fulch, Hist. Hier. 572",AM;,Historical
166,1115 Dec 25,1115.00000000,-,Doubtful,U,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
168,1119,1119.00000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Hebron,Hebron,35.09000000,31.51000000,0,0,Cave collapse in Hebron (Khalil). The cause is not mentioned (AM),"Secondary: Yaqut, Mu'jam 2/468",AM;,Historical
175,c.1150,1150.00000000,?,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,"Mar Elias, St. John",St. John,35.51000000,31.08000000,0,0,"GC: Date of occurrence, according the pilgrim John Phocas is not clear. AM doubts the event on the basis that the Mar Elias was already ruined in June 7 659. AAT dates the damage to an earthquake occurred in 1160 CE",NULL,AM; GC; SAL; AAT,Historical
208,1158 Apr 4,1158.20000000,-,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,N,Aleppo,Aleppo,37.15000000,36.21000000,0,0,AM: Ibn al-Qalanisi testifies that he 'heard' of the event. Aleppo is far away from Damascus and thus news could have not reached Damascus the time Ibn al-Qalanisi refers to.,Contemporary: Ibn al-Qalanisi.,AM; SDM;,Historical
